Total_MET,Avg_METs,TotalDistance,DistancePerStep,TrackerDistance,StepsbyDistance,TotalActiveDistance,TotalSteps,TotalActiveMinutes,ActiveRatio,AverageActiveMinutes,DistanceIntensity,InactiveRatio,SedentaryMinutes,ActivityRank,SedentaryRatio,LightlyActiveMinutes,LightActiveDistance,VeryActiveMinutes,LightlyActiveRatio,AveragePace,ActiveGroup,VeryActiveRatio,VeryActiveDistance,FairlyActiveRatio,ActiveDistanceRatio,FairlyActiveMinutes,TotalUsageMinutes,ModeratelyActiveDistance,Calories
20033.0,13.911805555555556,4.88000011444092,0.0006859713402362833,4.88000011444092,1457.7868510593303,4.88000002503395,7114,213,0.14791666666666667,71.0,7.91000002622604,0.5583333333333333,804,9,0.7905604719764012,190,3.22000002861023,15,0.18682399213372664,1.3746479195608226,1,0.014749262536873156,1.37000000476837,0.007866273352999017,0.9999999816789,8,1017,0.28999999165535,1407
17888.0,12.422222222222222,2.32999992370605,0.0007917091144091233,2.32999992370605,1263.0901701142225,2.32999992370605,2943,139,0.09652777777777778,46.333333333333336,2.32999992370605,0.43125,621,16,0.8171052631578948,139,2.32999992370605,0,0.18289473684210528,1.0057553627508127,0,0.0,0.0,0.0,1.0,0,760,0.0,2685
25999.0,18.054861111111112,10.4799995422363,0.0007383401114721925,9.5,1354.3893721364782,10.479999780654907,14194,374,0.25972222222222224,124.66666666666667,20.059999465942386,0.7402777777777778,1066,10,0.7402777777777778,304,5.30999994277954,53,0.2111111111111111,1.6812833490218662,4,0.03680555555555556,4.40999984741211,0.011805555555555555,1.0000000227498682,17,1440,0.759999990463257,2812
21450.0,14.895833333333334,6.98999977111816,0.0008114696739166658,6.98999977111816,1232.3319430698716,6.980000168085097,8614,254,0.1763888888888889,84.66666666666667,8.540000200271606,0.5173611111111112,745,9,0.7457457457457457,241,6.09000015258789,8,0.24124124124124124,1.6511810482956282,2,0.008008008008008008,0.670000016689301,0.005005005005005005,0.9985694415793289,5,999,0.219999998807907,3006
22224.0,15.433333333333334,7.21000003814697,0.000726887794953823,7.21000003814697,1375.7281480610457,7.210000097751619,9919,275,0.1909722222222222,91.66666666666667,10.530000150203707,0.8090277777777778,1165,10,0.8090277777777778,223,4.69000005722046,11,0.15486111111111112,1.5730909174138845,2,0.007638888888888889,0.800000011920929,0.02847222222222222,1.0000000082669416,41,1440,1.72000002861023,3123
16723.0,17.419791666666665,5.51000022888184,0.0006197278403871151,5.51000022888184,1613.6115482166279,5.51000022888184,8891,343,0.23819444444444443,114.33333333333333,5.51000022888184,0.22916666666666666,330,17,0.4903417533432392,343,5.51000022888184,0,0.5096582466567607,0.9638484365390975,2,0.0,0.0,0.0,1.0,0,673,0.0,1364
25369.0,17.617361111111112,7.40000009536743,0.0007551791096405174,7.40000009536743,1324.189172123714,7.40000009536743,9799,487,0.33819444444444446,162.33333333333334,7.40000009536743,0.3326388888888889,479,16,0.49585921325051757,487,7.40000009536743,0,0.5041407867494824,0.9117043238645703,2,0.0,0.0,0.0,1.0,0,966,0.0,2636
19866.0,13.795833333333333,4.90000009536743,0.0007935222826505959,4.90000009536743,1260.2040571056282,4.879999995231625,6175,182,0.12638888888888888,60.666666666666664,5.74000000953674,0.5326388888888889,767,9,0.8082191780821918,172,4.26999998092651,3,0.18124341412012646,1.6153846468244275,1,0.003161222339304531,0.25,0.007376185458377239,0.9959183469905004,7,949,0.360000014305115,2982
11913.0,13.236666666666666,2.58999991416931,0.0007687740914720422,2.58999991416931,1300.7722438788335,2.58999991416931,3369,108,0.075,36.0,2.58999991416931,0.5729166666666666,825,17,0.8842443729903537,108,2.58999991416931,0,0.1157556270096463,1.4388888412051724,0,0.0,0.0,0.0,1.0,0,933,0.0,1623
14672.0,10.188888888888888,0.0900000035762787,0.0006250000248352687,0.0900000035762787,1599.9999364217144,0.0900000035762787,144,9,0.00625,3.0,0.0900000035762787,0.99375,1431,18,0.99375,9,0.0900000035762787,0,0.00625,0.600000023841858,0,0.0,0.0,0.0,1.0,0,1440,0.0,1720
23247.0,16.14375,6.26000022888184,0.0006609650753755506,6.26000022888184,1512.939241807617,6.26000022888184,9471,360,0.25,120.0,6.26000022888184,0.40555555555555556,584,16,0.6186440677966102,360,6.26000022888184,0,0.3813559322033898,1.0433333714803068,2,0.0,0.0,0.0,1.0,0,944,0.0,2187
14416.0,10.011111111111111,0.0,0.0,0.0,0.0,0.0,4,1,0.0006944444444444445,0.3333333333333333,0.0,0.9993055555555556,1439,18,0.9993055555555556,1,0.0,0,0.0006944444444444445,0.0,0,0.0,0.0,0.0,0.0,0,1440,0.0,1348
18434.0,12.801388888888889,4.03000020980835,0.0007471264756782257,4.03000020980835,1338.461468779059,3.94000005722046,5394,164,0.11388888888888889,54.666666666666664,3.94000005722046,0.8861111111111111,1276,10,0.8861111111111111,164,3.94000005722046,0,0.11388888888888889,1.4743903206615914,1,0.0,0.0,0.0,0.9776674570961946,0,1440,0.0,2286
21916.0,15.219444444444445,7.96000003814697,0.0008114169253972446,7.96000003814697,1232.4120543953786,7.920000076293951,9810,286,0.1986111111111111,95.33333333333333,11.640000104904182,0.5444444444444444,784,8,0.7327102803738318,235,4.98000001907349,10,0.21962616822429906,1.6699300779329307,2,0.009345794392523364,0.779999971389771,0.038317757009345796,0.9949748791882757,41,1070,2.16000008583069,3069
22059.0,15.31875,8.1899995803833,0.000780074252822488,8.1899995803833,1281.9292476091478,8.179999895393843,10499,306,0.2125,102.0,12.53999968618154,0.7875,1134,10,0.7875,214,3.89000010490417,1,0.1486111111111111,1.6058822706633924,3,0.0006944444444444445,0.0700000002980232,0.06319444444444444,0.9987790371792681,91,1440,4.21999979019165,3093
16102.0,11.181944444444444,1.1599999666214,0.0006763848201874052,1.1599999666214,1478.4483184039095,1.1599999666214,1715,82,0.05694444444444444,27.333333333333332,1.1599999666214,0.9430555555555555,1358,16,0.9430555555555555,82,1.1599999666214,0,0.05694444444444444,0.8487804633815123,0,0.0,0.0,0.0,1.0,0,1440,0.0,1481
19699.0,13.67986111111111,2.55999994277954,0.0007483191881846069,2.55999994277954,1336.3281548692623,2.559999957680699,3421,115,0.0798611111111111,38.333333333333336,5.559999853372565,0.7631944444444444,1099,12,0.9052718286655683,70,0.990000009536743,34,0.057660626029654036,1.3356521440588904,0,0.02800658978583196,1.42999994754791,0.009060955518945634,1.0000000058207654,11,1214,0.140000000596046,2489
20994.0,14.579166666666667,6.78000020980835,0.0007804765983433119,6.78000020980835,1281.2683969290845,6.78000000119209,8687,270,0.1875,90.0,9.77000007033348,0.8125,1170,10,0.8125,212,4.07999992370605,4,0.14722222222222223,1.5066667132907443,2,0.002777777777777778,0.28999999165535,0.0375,0.9999999692306412,54,1440,2.41000008583069,2944
